,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
0,"39.96876598164982,-75.1997268790072",161887,,True,0.0,0.0015753370481188678,3808.0,0,0.0
1,"39.96655556342398,-75.2004472970602",103778,,True,0.0,0.0,6752.0,4,3.854381468133901e-05
2,"39.96430097635668,-75.18964523537966",43724,,True,0.0,0.008896216715804137,7824.0,0,0.0
3,"39.9753665759928,-75.2113493640991",108966,,False,0.0,0.0014219148312905633,5920.0,2,1.835434906301048e-05
4,"39.972428220268384,-75.20517069878659",142244,,False,2146.077336221941,0.005254258793218322,4064.0,3,2.1090520514046287e-05
5,"39.97434330350556,-75.20735593273575",111388,2.75,False,0.0,0.003169768203430877,4992.0,1,8.977627751642906e-06
6,"39.97545325216546,-75.22815363105919",147334,2.8333333333333335,False,0.0,0.0012384409625229998,6208.0,1,6.787299604979163e-06
7,"39.97164615142378,-75.2209475000264",249138,2.6666666666666665,False,506.472963187072,0.004866403115224814,4320.0,2,8.027679438704654e-06
8,"39.972252484959206,-75.22591884039616",86719,3.75,False,0.0,0.005178780881294966,6720.0,4,4.612599315029002e-05
9,"39.97706012947086,-75.21896321074453",622507,3.0625,False,0.0,0.001420963208170273,1728.0,0,0.0
10,"39.97236245875324,-75.23044134848065",78510,,False,0.0,0.003626020791446622,6432.0,0,0.0
11,"39.97539551652672,-75.23052455517399",58755,,False,0.0,0.00043587236766659337,8640.0,5,8.509914049868096e-05
12,"39.9720602994466,-75.23317581121346",70564,2.5,False,0.0,0.003669416134539727,10798.26,0,0.0
13,"39.975036244708456,-75.23473713181927",64273,5.0,False,0.0,0.002624490179570011,7520.0,2,3.111726541471535e-05
14,"39.97506667476205,-75.2325837542201",66714,,False,0.0,0.0007986050775281998,7072.0,6,8.993614533681087e-05
15,"39.97173681016631,-75.23609421486252",88625,,False,0.0,0.0036622412792433373,8800.0,4,4.513399153737659e-05
16,"39.97467511274214,-75.2370336583654",75721,,False,0.0,0.005017036828983609,7456.0,3,3.961912811505395e-05
17,"39.97968960208176,-75.23697827402157",149130,2.5,False,2759.530117425138,0.0019402888179663354,11520.0,0,0.0
18,"39.977239652424366,-75.23629290842894",81118,,False,0.0,0.002612961347158304,9792.0,2,2.465544022288518e-05
19,"39.98007879459201,-75.2409511718104",73787,,False,5612.748145899838,0.0010827758977750642,10976.0,1,1.3552522802119614e-05
20,"39.97745816064365,-75.24007303268975",70185,,False,0.0,0.003461799262905506,8256.0,5,7.124029351000925e-05
21,"39.97718031948869,-75.24257673867277",73635,,False,1091.796209317129,0.0035776744848329987,9728.0,3,4.074149521287431e-05
22,"39.9794718205606,-75.24779179989606",211122,3.0,False,2653.341951884835,0.0056926274895541225,17952.0,4,1.894639118613882e-05
23,"39.97859055799972,-75.24460174276643",141395,,False,3006.619275927666,0.002154264473829628,14400.0,3,2.1217157608119098e-05
24,"40.06856211265115,-75.15033597546145",67079,,False,0.0,0.01737135194475574,15488.0,0,0.0
25,"40.06694657972468,-75.14841883251499",54281,3.25,False,0.0,0.015992564291915277,14068.935000000001,3,5.5267957480518046e-05
26,"40.06571630022109,-75.15196546561864",101325,3.611111111111111,False,0.0,0.013514868648782381,15680.0,0,0.0
27,"40.06387226631027,-75.14942842293594",54228,,False,0.0,0.013157154462420408,14880.0,0,0.0
28,"40.06145539363151,-75.14957994083696",107052,,False,0.0,0.008971118557681894,16160.0,2,1.8682509434667263e-05
29,"40.0539914818613,-75.14437416097716",70099,,False,562.077706574628,0.0027390990250749686,14256.0,0,0.0
30,"40.0544230657236,-75.14762337723865",124050,,False,0.0,0.0027331164842913027,13632.0,2,1.6122531237404272e-05
31,"40.056132700294434,-75.15083055112434",77321,4.0,False,0.0,0.005769418999023728,12224.0,2,2.586619417751969e-05
32,"40.05718246252883,-75.14748617966666",81257,3.5,False,0.0,0.005868362062801122,14336.0,4,4.9226528176034064e-05
33,"40.0568645667415,-75.14412521975885",79677,4.5,False,0.0,0.005857571295935902,15456.0,4,5.0202693374499545e-05
34,"40.05195126293396,-75.14686043044429",94387,,False,562.077706574628,0.001178890950645416,14240.0,3,3.1784038056088235e-05
35,"40.05494008100782,-75.14184216943008",152067,2.7,False,0.0,0.0027118613270358063,17600.0,3,1.9728146146106652e-05
36,"40.06069125282566,-75.13912367310768",239073,,False,0.0,0.00950636565978585,12096.0,1,4.182822819808176e-06
37,"40.055766009083946,-75.13877235998413",158116,3.5,False,563.900512437714,0.006095216844600345,32208.0,1,6.324470641807281e-06
38,"40.05415669827588,-75.12852488336003",152390,4.5,False,0.0,0.015797490705710328,,1,6.5621103746965025e-06
39,"40.048923848255306,-75.12963820454574",216319,,False,0.0,0.009879165493828794,27616.0,0,0.0
40,"40.048300635391016,-75.12652950395905",115983,1.5,False,0.0,0.011879520958772902,16480.0,0,0.0
41,"40.04739960630126,-75.12417059748412",86600,4.0,False,0.0,0.012719241747935182,13424.0,0,0.0
42,"40.048249025585385,-75.11510104263",83939,,False,2119.292077971038,0.010765810319589316,19184.0,2,2.382682662409607e-05
43,"40.04852024846517,-75.12077204911166",315711,2.5,False,4270.747060032652,0.011064316832753074,16688.0,1,3.167453778930731e-06
44,"40.03463148974448,-75.1206465338894",181824,3.65,False,251.911826720598,0.0,13232.0,0,0.0
45,"40.08403324657354,-74.97814933437994",308425,2.5,False,2323.633926754694,0.017040154093748833,24000.0,1,3.2422793223636215e-06
46,"40.08105053721228,-74.99018085265018",243055,3.5,False,0.0,0.009790365987860677,21952.0,1,4.114295118388842e-06
47,"40.082512997707376,-74.97197118459746",429482,3.4545454545454546,False,0.0,0.018713308037058854,18976.0,3,6.985158865796471e-06
48,"40.09052104618473,-74.98010221571094",248988,,False,1398.238603119544,0.022006037959467258,21280.0,0,0.0
49,"40.07734667083414,-74.98079948739013",327731,5.0,False,0.0,0.009094711993034202,24256.0,1,3.0512829119003086e-06
50,"40.02671916780435,-75.10891759152517",230533,4.5,False,1024.635633632932,0.008160261887722056,11184.0,6,2.6026642606481503e-05
51,"40.05996741231832,-75.00059247142461",718280,3.2222222222222223,False,1893.9209474475301,0.002834646597472152,25600.0,0,0.0
52,"39.88979993037904,-75.16933500017923",4504459,3.75,False,0.0,0.01682530309443529,,0,0.0
53,"39.92042497249849,-75.17873171396161",76687,4.25,False,0.0,0.0037670993526194877,15744.0,1,1.3040019820830128e-05
54,"39.92282361898538,-75.1781066844484",70201,3.3,False,0.0,0.006301536738306389,12992.0,0,0.0
